#,Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
1,Stephen Curry,50,34,31.4,10.3,20.9,49.1,5.2,12.1,43.1,5.6,6.1,92.2,0.5,5,5.5,5.9,1.2,0.1,3.3,29.7
2,Bradley Beal,48,35.4,31.1,11,22.6,48.4,2.2,6.4,34.3,7,7.8,89.5,1.1,3.5,4.7,4.7,1.2,0.4,3.3,26.3
3,Damian Lillard,52,35.9,28.7,8.8,20.1,44,4.1,10.8,37.9,6.9,7.5,92.5,0.5,3.7,4.2,7.7,0.9,0.3,3.2,26.7
4,Luka Doncic,51,35.1,28.6,10.2,20.9,48.6,3,8.3,35.9,5.3,7.3,72.7,0.8,7.1,7.9,8.7,1,0.7,4.3,29.8
5,Giannis Antetokounmpo,48,33.7,28.5,10.4,18.4,56.4,1.1,3.6,29.7,6.8,9.8,68.8,1.7,9.4,11.2,6,1.1,1.3,3.7,33.4
6,Zach LaVine,53,35.2,27.5,9.8,19.4,50.6,3.4,8.2,41.6,4.4,5.2,84.8,0.6,4.5,5.1,5.1,0.8,0.5,3.6,25
7,Kyrie Irving,42,35.2,27.4,10.5,20.4,51.3,2.7,7,39,3.7,4.1,91.3,1,3.6,4.7,6.2,1.3,0.6,2.4,27.4
8,Zion Williamson,53,33.1,26.9,10.4,16.8,61.7,0.2,0.6,30,6,8.6,70.1,2.6,4.6,7.2,3.7,0.9,0.7,2.7,27.7
9,Donovan Mitchell,53,33.4,26.4,9,20.6,43.8,3.4,8.7,38.6,5,6,84.5,0.9,3.5,4.4,5.2,1,0.3,2.8,22.1
10,Nikola Jokic,57,35.4,26.4,10.4,18.3,56.9,1.4,3.4,41.9,4.2,4.9,85.4,3,8.1,11.1,8.8,1.4,0.6,3.1,36.6
11,Jayson Tatum,52,35.6,25.8,9.3,20.3,45.7,2.9,7.5,38.7,4.3,4.9,87.4,0.7,6.6,7.3,4.3,1.2,0.4,2.6,24.8
12,Kawhi Leonard,46,34.4,25.7,9.4,18.2,51.6,2,5,39.3,5,5.7,87.8,1.1,5.5,6.7,5.1,1.7,0.4,2,28.1
13,Devin Booker,53,33.8,25.4,9.3,19.3,48.3,2,5.8,34.7,4.8,5.6,86.1,0.4,3.8,4.2,4.5,0.9,0.3,3.2,21.5
14,LeBron James,41,33.9,25.4,9.5,18.4,51.3,2.4,6.5,36.8,4.1,5.8,70.3,0.6,7.3,7.9,7.9,1,0.6,3.7,28.4
15,Trae Young,53,34.3,25.4,7.7,17.8,43.1,2.3,6.4,35.8,7.7,8.8,87.2,0.7,3.3,4,9.5,0.8,0.2,4.3,24.3
16,James Harden,42,37.1,25.2,8,17.2,46.3,2.8,7.8,35.8,6.5,7.5,87,0.8,7.2,8,10.9,1.2,0.7,4.1,31.7
17,De'Aaron Fox,57,35,25.1,9.1,19.1,47.8,1.8,5.5,32.5,5,7.1,71.2,0.6,2.9,3.5,7.2,1.5,0.5,3,22.7
18,Jaylen Brown,53,34.2,24.5,9.3,18.8,49.6,2.7,6.8,40.4,3.2,4.2,75.4,1.2,4.6,5.8,3.4,1.2,0.5,2.7,22.2
19,Collin Sexton,48,35.8,24.3,8.9,18.5,48.2,1.6,4.3,37,4.9,6,81.8,0.9,2.1,3,4.1,1.1,0.1,2.6,19.3
20,Nikola Vucevic,58,33.6,24.2,9.8,20.1,48.7,2.6,6.3,41.9,2,2.4,83.6,2.1,9.2,11.3,3.7,1,0.7,1.7,28.5
21,Brandon Ingram,53,34.6,24.2,8.5,18.2,46.8,2.4,6.2,38.2,4.8,5.4,88.5,0.6,4.4,4.9,4.8,0.7,0.7,2.5,22.6
22,Paul George,45,33.6,23.8,8.5,17.6,48.3,3.3,7.6,43.2,3.6,4,88.5,0.9,5.5,6.4,5.4,1.2,0.5,3.2,24.5
23,Julius Randle,58,37.4,23.6,8.4,18.3,45.9,2.1,5.2,40.1,4.8,5.9,80.2,1.3,9.2,10.5,6.1,1,0.3,3.4,26.9
24,Jerami Grant,50,34.3,22.4,7.4,17.3,42.8,2.2,6.2,35.4,5.4,6.3,86,0.7,4,4.7,2.9,0.7,1.1,2.1,19
25,Russell Westbrook,50,35.5,21.8,8.3,18.9,43.8,1.3,4.1,31.1,3.9,6.3,61.8,1.7,9.3,10.9,10.9,1.3,0.4,5,27.3
26,Jimmy Butler,41,33.7,21.4,7.1,14.4,49.5,0.5,2,23.2,6.7,7.9,85.2,1.9,5.3,7.2,7.2,2.1,0.4,2.1,27.8
27,Malcolm Brogdon,51,35,21.3,8,17.6,45.4,2.6,6.7,39.4,2.6,3.1,86,1.1,3.9,5,5.9,0.9,0.3,2,21.4
28,Jamal Murray,48,35.5,21.2,7.9,16.5,47.7,2.7,6.6,40.8,2.8,3.2,86.9,0.8,3.3,4,4.8,1.3,0.3,2.3,20.4
29,DeMar DeRozan,48,33.9,21.1,7.3,14.8,49.3,0.4,1.4,27.3,6.1,7,88.1,0.7,3.6,4.4,7.2,0.9,0.3,1.9,23.6
30,Pascal Siakam,46,35.6,20.8,7.5,16.5,45.3,1.2,4.2,28.2,4.7,5.5,83.9,1.7,5.5,7.2,4.7,1.1,0.7,2.2,22.4
31,Terry Rozier,54,34.1,20.7,7.5,16,46.8,3.4,8.3,40.5,2.4,2.9,81.9,0.6,3.7,4.3,3.9,1.3,0.4,1.9,19.5
32,Tobias Harris,49,33.3,20.5,7.9,15.2,52.1,1.4,3.5,40.7,3.2,3.6,88.6,1,6.2,7.2,3.6,0.9,0.9,1.9,23.5
33,Khris Middleton,55,33.5,20.2,7.5,15.7,47.9,2.2,5.2,42.6,3.1,3.4,88.9,0.8,5.3,6.1,5.6,1.1,0.2,2.7,21.9
34,Domantas Sabonis,53,35.7,19.9,7.5,14.4,52,0.8,2.6,30.2,4.1,5.6,73.1,2.5,9.1,11.6,6,1.1,0.5,3.4,27.4
35,Gordon Hayward,44,34,19.6,7.1,15,47.3,1.9,4.7,41.5,3.5,4.2,84.3,0.8,5,5.9,4.1,1.2,0.3,2.1,20.5
36,Fred VanVleet,45,36.1,19.5,6.4,16.4,39.1,3.3,8.9,36.6,3.4,3.9,88.5,0.6,3.5,4.2,6.1,1.7,0.8,2,19.9
37,Norman Powell,55,31.3,19.1,6.6,13.5,48.7,2.6,6.3,41.8,3.4,3.9,86,0.6,2.5,3,1.8,1.2,0.3,1.9,16.1
38,Ja Morant,48,32.1,19,6.8,15.3,44.7,1,3.6,27.7,4.4,5.9,73.9,0.9,2.8,3.7,7.4,0.9,0.2,3.1,18.1
39,Bam Adebayo,51,33.4,19,7.2,12.7,56.6,0,0.2,25,4.5,5.7,80.3,2.3,7,9.3,5.2,1,1.1,2.8,26.3
40,Anthony Edwards,59,31.4,18.3,6.6,16.6,40,2.3,7,32.3,2.7,3.5,78.9,0.8,3.6,4.4,2.7,1.1,0.4,2.1,14.1
41,Andrew Wiggins,58,32.9,18.1,6.9,14.4,47.7,2,5.2,38.8,2.4,3.4,69.5,0.9,3.8,4.8,2.3,0.9,1,1.8,16.7
42,John Collins,49,30,17.8,6.9,12.8,54.4,1.2,3.3,37.3,2.7,3.3,83.8,2.1,5.7,7.8,1.4,0.5,1,1.2,21
43,Michael Porter Jr.,47,30.9,17.7,6.8,12.6,53.8,2.5,5.7,43.3,1.7,2.1,77.2,1.8,6,7.7,1,0.6,0.9,1.1,20.5
44,RJ Barrett,59,34.2,17.5,6.5,14.5,44.9,1.5,3.8,39.1,2.9,3.9,73.8,1.1,4.6,5.6,2.9,0.8,0.3,2,16
45,Jordan Clarkson,54,25.9,17.4,6.4,15,42.5,3,8.7,34.8,1.6,1.7,94.7,0.7,3.2,3.9,2.2,0.9,0.1,1.7,14.1
46,Jrue Holiday,45,31.9,17.4,6.9,13.6,50.6,1.9,4.7,40.4,1.7,2,83.7,1.3,3.2,4.5,5.5,1.8,0.5,2.1,20.5
47,Darius Garland,47,33.6,17.2,6.6,14.9,44.7,1.9,4.9,39.7,2,2.4,83.8,0.5,1.9,2.4,6.1,1.2,0.1,3,15.4
48,Jonas Valanciunas,50,28,17,7,12.1,58,0.3,1,33.3,2.6,3.4,77.4,4.2,8.4,12.6,1.8,0.5,0.7,1.7,25.1
49,Dillon Brooks,52,29.6,16.8,6.3,15.2,41.8,1.9,5.5,34.3,2.2,2.7,83.3,0.8,2.1,3,2.4,1.2,0.4,1.8,12.6
50,Buddy Hield,57,34.2,16.4,5.6,14,39.8,3.9,10.4,38,1.3,1.5,83.7,0.4,4.1,4.5,3.1,0.8,0.4,1.7,14.7